tanggal,meninggal,sembuh,positif,positif_aktif,meninggal harian,sembuh harian,self-isolation harian,dirawat harian,positif harian,positif aktif harian,rasio_kematian,rasio_sembuh,rasio_sembuh_meninggal
2020-04-10,156,82,1810,1572,1,0,28,62,91,90,0.0861878453038674,0.045303867403314914,0.5256410256410257
2020-04-11,168,142,1903,1593,12,60,8,13,93,21,0.0882816605359958,0.07461902259590121,0.8452380952380952
2020-04-12,195,142,2082,1745,27,0,27,125,179,152,0.0936599423631124,0.06820365033621517,0.7282051282051282
2020-04-13,209,142,2242,1891,14,0,53,93,160,146,0.09322033898305085,0.06333630686886708,0.6794258373205742
2020-04-14,243,163,2349,1943,34,21,37,15,107,52,0.10344827586206896,0.06939123031077055,0.6707818930041153
2020-04-15,246,164,2447,2037,3,1,55,39,98,94,0.10053126277073968,0.06702084184715978,0.6666666666666666
2020-04-16,248,202,2670,2220,2,38,6,177,223,183,0.09288389513108614,0.07565543071161049,0.8145161290322581
2020-04-17,250,203,2823,2370,2,1,24,126,153,150,0.08855827134254339,0.07190931633014523,0.812
2020-04-18,257,206,2902,2439,7,3,27,42,79,69,0.08855961405926947,0.0709855272226051,0.8015564202334631
2020-04-19,292,207,3033,2534,35,1,25,70,131,95,0.09627431585888559,0.06824925816023739,0.708904109589041
2020-04-20,297,237,3112,2578,5,30,57,-13,79,44,0.09543701799485861,0.07615681233933162,0.797979797979798
2020-04-21,305,286,3279,2688,8,49,1,109,167,110,0.09301616346447088,0.08722171393717597,0.9377049180327869
2020-04-22,308,291,3399,2800,3,5,62,50,120,112,0.09061488673139159,0.08561341571050309,0.9448051948051948
2020-04-23,316,292,3506,2898,8,1,73,25,107,98,0.0901312036508842,0.08328579577866514,0.9240506329113924
2020-04-24,331,327,3605,2947,15,35,71,-22,99,49,0.09181692094313454,0.09070735090152567,0.9879154078549849
2020-04-25,350,334,3681,2997,19,7,91,-41,76,50,0.09508285791904374,0.09073621298560174,0.9542857142857143
2020-04-26,357,338,3746,3051,7,4,49,5,65,54,0.09530165509877202,0.09022957821676456,0.9467787114845938
2020-04-27,375,338,3832,3119,18,0,70,-2,86,68,0.09786012526096033,0.08820459290187892,0.9013333333333333
2020-04-28,379,341,3950,3230,4,3,37,74,118,111,0.0959493670886076,0.08632911392405063,0.899736147757256
2020-04-29,381,412,4033,3240,2,71,32,-22,83,10,0.09447061740639723,0.10215720307463427,1.0813648293963254
2020-04-30,381,412,4138,3345,0,0,34,71,105,105,0.09207346544224262,0.09956500724987917,1.0813648293963254
2020-05-01,393,427,4283,3463,12,15,40,78,145,118,0.09175811347186552,0.09969647443380808,1.0865139949109415
2020-05-02,400,562,4355,3393,7,135,-8,-62,72,-70,0.09184845005740529,0.12904707233065443,1.405
