tanggal,meninggal,sembuh,positif,positif_aktif,rasio_kematian,rasio_sembuh,rasio_sembuh_meninggal
2020-03-30,78,49,727,600,0.10729023383768914,0.06740027510316368,0.6282051282051282
2020-03-31,84,49,741,608,0.11336032388663968,0.06612685560053981,0.5833333333333334
2020-04-01,90,51,816,675,0.11029411764705882,0.0625,0.5666666666666667
2020-04-02,95,54,909,760,0.10451045104510451,0.0594059405940594,0.5684210526315789
2020-04-03,98,56,990,836,0.09898989898989899,0.05656565656565657,0.5714285714285714
2020-04-04,99,58,1071,914,0.09243697478991597,0.05415499533146592,0.5858585858585859
2020-04-05,123,64,1151,964,0.10686359687228497,0.05560382276281494,0.5203252032520326
2020-04-06,131,68,1299,1100,0.100846805234796,0.05234795996920708,0.5190839694656488
2020-04-07,141,69,1443,1233,0.09771309771309772,0.04781704781704782,0.48936170212765956
2020-04-08,144,75,1552,1333,0.09278350515463918,0.04832474226804124,0.5208333333333334
2020-04-09,155,82,1719,1482,0.09016870273414776,0.0477021524141943,0.5290322580645161
2020-04-10,156,82,1810,1572,0.0861878453038674,0.045303867403314914,0.5256410256410257
2020-04-11,168,142,1903,1593,0.0882816605359958,0.07461902259590121,0.8452380952380952
2020-04-12,195,142,2082,1745,0.0936599423631124,0.06820365033621517,0.7282051282051282
2020-04-13,209,142,2242,1891,0.09322033898305085,0.06333630686886708,0.6794258373205742
2020-04-14,243,163,2349,1943,0.10344827586206896,0.06939123031077055,0.6707818930041153
2020-04-15,246,164,2447,2037,0.10053126277073968,0.06702084184715978,0.6666666666666666
2020-04-16,248,202,2670,2220,0.09288389513108614,0.07565543071161049,0.8145161290322581
2020-04-17,250,203,2823,2370,0.08855827134254339,0.07190931633014523,0.812
2020-04-18,257,206,2902,2439,0.08855961405926947,0.0709855272226051,0.8015564202334631
2020-04-19,292,207,3033,2534,0.09627431585888559,0.06824925816023739,0.708904109589041
2020-04-20,297,237,3112,2578,0.09543701799485861,0.07615681233933162,0.797979797979798
2020-04-21,305,286,3279,2688,0.09301616346447088,0.08722171393717597,0.9377049180327869
2020-04-22,308,291,3399,2800,0.09061488673139159,0.08561341571050309,0.9448051948051948
2020-04-23,316,292,3506,2898,0.0901312036508842,0.08328579577866514,0.9240506329113924
2020-04-24,331,327,3605,2947,0.09181692094313454,0.09070735090152567,0.9879154078549849
2020-04-25,350,334,3681,2997,0.09508285791904374,0.09073621298560174,0.9542857142857143
2020-04-26,357,338,3746,3051,0.09530165509877202,0.09022957821676456,0.9467787114845938
2020-04-27,375,338,3832,3119,0.09786012526096033,0.08820459290187892,0.9013333333333333
2020-04-28,379,341,3950,3230,0.0959493670886076,0.08632911392405063,0.899736147757256
2020-04-29,381,412,4033,3240,0.09447061740639723,0.10215720307463427,1.0813648293963254
2020-04-30,381,412,4138,3345,0.09207346544224262,0.09956500724987917,1.0813648293963254
2020-05-01,393,427,4283,3463,0.09175811347186552,0.09969647443380808,1.0865139949109415
2020-05-02,400,562,4355,3393,0.09184845005740529,0.12904707233065443,1.405
2020-05-03,410,622,4417,3385,0.09282318315598823,0.14081956078786506,1.5170731707317073
2020-05-04,412,650,4472,3410,0.09212880143112702,0.14534883720930233,1.5776699029126213
2020-05-05,414,711,4641,3516,0.0892049127343245,0.15319974143503556,1.7173913043478262
2020-05-06,420,713,4709,3576,0.08919091102144829,0.15141218942450627,1.6976190476190476
2020-05-07,430,718,4775,3627,0.09005235602094241,0.15036649214659686,1.669767441860465
2020-05-08,431,763,4901,3707,0.08794123648235054,0.15568251377269945,1.7703016241299303
2020-05-09,437,767,4958,3754,0.0881403791851553,0.15469947559499797,1.7551487414187643
